Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Mobile apps,0,2,1.04
55 - 64,New South Wales,1935.7,Health and medical products,Text message,0,1,3.49
65 and over,South Australia,1776.9,Remote access,Internet,7000,2,1.13
55 - 64,South Australia,1776.9,"Threats to life, arrest or other",Text message,0,1,1.27
25 - 34,Victoria,1882,Hacking,Phone call,0,3,2.34
25 - 34,South Australia,1776.9,Online shopping,Email,110,1,2.62
18 - 24,Western Australia,2094.3,Dating and romance,Text message,0,1,0.2
35 - 44,Victoria,1882,False billing,Phone call,0,2,4.06
25 - 34,Queensland,1901,Hacking,Text message,0,1,2.36
45 - 54,Western Australia,2094.3,Remote access,Phone call,0,1,1.3
55 - 64,New South Wales,2126.5,Identity theft,Phone call,0,2,2.15
35 - 44,New South Wales,1935.7,Hacking,Phone call,0,4,2.83
35 - 44,New South Wales,2126.5,Hacking,Phone call,0,1,1.08
18 - 24,New South Wales,1935.7,Overpayment,Text message,0,1,1.31
65 and over,Queensland,1901,Health and medical products,Email,0,3,5.47
45 - 54,Western Australia,2094.3,Jobs and employment,Internet,1890.58,1,1.16
25 - 34,New South Wales,1935.7,Other,Text message,0,8,6
35 - 44,Queensland,1901,Investment,Social media/Online forums,17800,3,2.21
55 - 64,South Australia,1776.9,False billing,Email,0,3,6.05
Under 18,Queensland,1901,Other,Text message,0,1,4.61
25 - 34,Victoria,1882,Dating and romance,Mobile apps,0,1,0.9
18 - 24,South Australia,1776.9,Phishing,Internet,85,2,0
45 - 54,New South Wales,1935.7,Mobile premium services,Text message,0,1,2.62
25 - 34,Victoria,1882,Rebate,Text message,0,2,1.86
35 - 44,Victoria,1882,False billing,Text message,0,9,6.84
35 - 44,Western Australia,2094.3,Hacking,Text message,0,3,1.76
55 - 64,Western Australia,2094.3,Phishing,Email,0,34,25.43
18 - 24,New South Wales,1935.7,False billing,Text message,0,3,5.44
45 - 54,New South Wales,1935.7,Overpayment,Social media/Online forums,0,1,1.55
55 - 64,Northern Territory,1845.8,Hacking,Text message,0,3,0
25 - 34,South Australia,1776.9,Jobs and employment,Mobile apps,0,1,0
55 - 64,New South Wales,1935.7,Other,Mobile apps,0,2,3.05
45 - 54,Western Australia,2094.3,Mobile premium services,Phone call,0,2,1
65 and over,New South Wales,1935.7,Investment,Social media/Online forums,29079,2,3.07
55 - 64,Tasmania,1710.8,Identity theft,Internet,133.17,2,0
Under 18,Western Australia,2094.3,Phishing,Phone call,0,1,0
55 - 64,South Australia,1776.9,Overpayment,Text message,0,1,1.24
55 - 64,Western Australia,2094.3,Investment,Phone call,0,2,1.71
65 and over,New South Wales,1935.7,Fake charity,Email,40000,1,16.26
25 - 34,New South Wales,1935.7,Phishing,Email,0,3,27.21
25 - 34,Western Australia,2094.3,Mobile premium services,Phone call,0,2,0.56
45 - 54,Queensland,1901,Remote access,Email,0,1,2.15
55 - 64,Western Australia,2094.3,"Travel, prizes and lottery",Email,0,1,1.77
25 - 34,New South Wales,1935.7,Other,Phone call,0,10,3.77
45 - 54,Northern Territory,1845.8,Hacking,Email,0,1,0
25 - 34,Queensland,1901,Identity theft,Email,0,1,3.97
65 and over,Western Australia,2094.3,Investment,Social media/Online forums,398,1,1.19
35 - 44,Victoria,1882,Identity theft,In person,0,1,2.01
45 - 54,Tasmania,1710.8,Rebate,Phone call,0,1,0.21
35 - 44,Queensland,1901,Other,Social media/Online forums,0,2,2.18
35 - 44,South Australia,1776.9,Jobs and employment,Internet,18957.91,2,1.2
35 - 44,Victoria,1882,Hacking,Phone call,0,1,2.75
45 - 54,Western Australia,2094.3,Health and medical products,Text message,0,1,1.2
55 - 64,South Australia,1776.9,Hacking,Text message,0,6,2.19
55 - 64,Western Australia,2094.3,Identity theft,Text message,0,2,4.8
35 - 44,Queensland,1901,"Threats to life, arrest or other",Mobile apps,0,2,0.95
45 - 54,South Australia,1776.9,Hacking,Phone call,0,3,1.78
25 - 34,Victoria,1882,"Threats to life, arrest or other",Phone call,0,1,1.51
55 - 64,South Australia,1776.9,Remote access,Text message,0,1,1.54
45 - 54,New South Wales,1935.7,Dating and romance,Mobile apps,2500,2,2.03
35 - 44,South Australia,1776.9,Classified,Social media/Online forums,100,5,1.36
35 - 44,New South Wales,1935.7,Remote access,Email,0,1,2.1
65 and over,Western Australia,2094.3,Other,Text message,200,7,9.23
55 - 64,Queensland,1901,Investment,Mobile apps,50000,2,2.02
45 - 54,Victoria,1882,Classified,Internet,450,3,2.07
25 - 34,New South Wales,2126.5,Investment,Social media/Online forums,1800,1,0.95
45 - 54,South Australia,1776.9,Phishing,Email,0,7,15.76
45 - 54,Victoria,1882,Investment,Phone call,0,2,2.22
25 - 34,Western Australia,2094.3,False billing,Text message,0,2,4.35
65 and over,Queensland,1901,Investment,Email,2000,4,16.66
35 - 44,Queensland,1901,Hacking,Internet,738.25,2,2.22
18 - 24,Victoria,1882,Classified,Social media/Online forums,1200,2,2.69
65 and over,New South Wales,1935.7,Dating and romance,Email,0,13,6.57
65 and over,New South Wales,1935.7,Dating and romance,Social media/Online forums,0,2,2.05
45 - 54,New South Wales,1935.7,inheritance and unexpected money,Text message,0,3,2.62
25 - 34,Tasmania,1710.8,Other,Social media/Online forums,0,1,0.43
18 - 24,Northern Territory,1845.8,False billing,Mobile apps,0,1,0
45 - 54,New South Wales,2126.5,"Threats to life, arrest or other",Email,0,4,0
25 - 34,Victoria,1882,Remote access,Text message,0,1,2.14
35 - 44,South Australia,1776.9,Other,Social media/Online forums,600,1,1.67
35 - 44,Queensland,1901,Other,Mobile apps,0,1,1.42
18 - 24,New South Wales,1935.7,Other,In person,0,1,1.33
65 and over,Western Australia,2094.3,Investment,Phone call,7700,2,2.35
45 - 54,Victoria,1882,Identity theft,Social media/Online forums,0,1,2.94
55 - 64,Queensland,1901,Investment,Social media/Online forums,21726,1,2.41
55 - 64,Queensland,1901,Overpayment,Text message,0,4,3.01
25 - 34,Western Australia,2094.3,Jobs and employment,Mail,0,1,0.2
65 and over,New South Wales,1935.7,"Travel, prizes and lottery",Text message,0,2,5.76
55 - 64,Queensland,1901,Rebate,Email,0,2,3.03
65 and over,Victoria,1882,Hacking,Text message,0,5,6.88
65 and over,Queensland,1901,Phishing,Mobile apps,14700,3,35.33
18 - 24,Western Australia,2094.3,Online shopping,Social media/Online forums,320,1,0.52
35 - 44,New South Wales,1935.7,Dating and romance,Social media/Online forums,0,1,1.24
55 - 64,Tasmania,1710.8,Classified,Social media/Online forums,100,2,0.72
55 - 64,New South Wales,1935.7,Rebate,Email,0,8,3.51
18 - 24,Queensland,1901,Other,Phone call,0,2,2.15
35 - 44,Tasmania,1710.8,Online shopping,Internet,154.7,1,0.21
45 - 54,New South Wales,1935.7,False billing,Phone call,0,3,5.14
45 - 54,South Australia,1776.9,Hacking,Internet,0,1,0.7
65 and over,Northern Territory,1845.8,False billing,Text message,0,1,5.93
65 and over,New South Wales,1935.7,Health and medical products,Text message,0,4,5.14
65 and over,Western Australia,2094.3,inheritance and unexpected money,Mail,0,2,0.14
65 and over,New South Wales,1935.7,Other,Mail,0,1,4.11
65 and over,Victoria,1882,False billing,Text message,0,9,12.44
35 - 44,South Australia,1776.9,Other,Internet,85,1,0.38
35 - 44,Victoria,1882,Overpayment,Email,0,1,1.82
65 and over,Queensland,1901,Online shopping,Internet,3003,2,5.4
35 - 44,Queensland,1901,Overpayment,Email,0,1,1.48
35 - 44,Western Australia,2094.3,Phishing,Text message,0,18,11.83
65 and over,Victoria,1882,"Threats to life, arrest or other",Email,0,1,6.43
55 - 64,Western Australia,2094.3,False billing,Email,0,10,6.49
65 and over,Victoria,1882,Dating and romance,In person,20000,1,2.36
45 - 54,Western Australia,2094.3,Hacking,Text message,0,1,2.07
25 - 34,New South Wales,1935.7,Ransomware and malware,Email,0,1,1.34
35 - 44,New South Wales,2126.5,False billing,Text message,0,1,3.56
Under 18,Victoria,1882,Jobs and employment,Mobile apps,2220,1,0.02
45 - 54,South Australia,1776.9,Other,Text message,0,5,4.1
55 - 64,Victoria,1882,Online shopping,Text message,0,3,8.71
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Social media/Online forums,0,1,1.76
55 - 64,New South Wales,2126.5,Hacking,Email,0,1,0.65
45 - 54,Western Australia,2094.3,inheritance and unexpected money,Email,0,1,0.84
25 - 34,New South Wales,1935.7,Other,Social media/Online forums,700,2,3.66
35 - 44,Victoria,1882,Dating and romance,unspecified,0,1,1.22
55 - 64,Victoria,1882,Rebate,Email,0,5,3.37
18 - 24,Northern Territory,1845.8,False billing,Social media/Online forums,21890,1,2.34
35 - 44,Victoria,1882,Investment,Social media/Online forums,11820,3,2.55
65 and over,South Australia,1776.9,Hacking,Email,0,5,4.96
65 and over,Queensland,1901,Classified,Email,8260,10,17.67
65 and over,South Australia,1776.9,False billing,Text message,0,10,9.08
35 - 44,South Australia,1776.9,Phishing,Text message,0,1,9.16
55 - 64,New South Wales,1935.7,Phishing,Email,0,37,51.43
65 and over,Queensland,1901,"Travel, prizes and lottery",Email,0,7,6.09
35 - 44,Queensland,1901,Classified,Internet,0,2,1.38
25 - 34,Victoria,1882,Jobs and employment,Text message,0,1,1.86
45 - 54,Victoria,1882,Phishing,Internet,0,1,4.94
35 - 44,New South Wales,1935.7,Other,Phone call,0,5,4.09
18 - 24,Western Australia,2094.3,Identity theft,Phone call,0,1,1.33
35 - 44,Northern Territory,1845.8,Investment,Email,0,1,0
65 and over,New South Wales,1935.7,Identity theft,Email,0,35,10.4
65 and over,South Australia,1776.9,Remote access,Social media/Online forums,0,1,0.71
18 - 24,New South Wales,1935.7,Health and medical products,Text message,0,1,1.31
55 - 64,Victoria,1882,Online shopping,Phone call,0,2,5.18
45 - 54,South Australia,1776.9,Other,Text message,0,3,4.1
65 and over,Queensland,1901,inheritance and unexpected money,Phone call,0,1,2.62
18 - 24,Victoria,1882,Classified,Social media/Online forums,3980,7,2.69
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Internet,2300,1,2.09
35 - 44,South Australia,1776.9,Other,Internet,359,2,0.76
45 - 54,Victoria,1882,"Threats to life, arrest or other",Email,0,2,2.21
25 - 34,Queensland,1901,"Threats to life, arrest or other",Email,0,1,1.17
35 - 44,Victoria,1882,False billing,Email,0,5,6.38
18 - 24,New South Wales,1935.7,Classified,Text message,3500,1,2.83
65 and over,Victoria,1882,Health and medical products,Email,0,2,5.81
55 - 64,Victoria,1882,False billing,Phone call,0,5,5.55
35 - 44,South Australia,1776.9,Dating and romance,Mobile apps,0,1,0.3
65 and over,Western Australia,2094.3,Phishing,Phone call,11500,13,29.81
25 - 34,Victoria,1882,False billing,Email,938641.27,5,6.57
55 - 64,Victoria,1882,Online shopping,Phone call,0,2,5.18
65 and over,New South Wales,1935.7,Rebate,Social media/Online forums,0,1,2.05
35 - 44,New South Wales,2126.5,Investment,Social media/Online forums,0,1,0.42
55 - 64,South Australia,1776.9,Online shopping,Email,0,1,5.05
45 - 54,Victoria,1882,Hacking,Text message,0,3,3.49
65 and over,Western Australia,2094.3,Investment,Mobile apps,20000,1,1.32
25 - 34,Queensland,1901,Hacking,Text message,0,3,2.36
55 - 64,New South Wales,2126.5,Remote access,Phone call,0,1,0.85
55 - 64,Northern Territory,1845.8,Other,Mail,0,1,0
65 and over,Tasmania,1710.8,Mobile premium services,Phone call,0,1,0.03
18 - 24,Northern Territory,1845.8,Phishing,Social media/Online forums,0,1,0
18 - 24,Victoria,1882,Classified,Text message,0,1,2.31
65 and over,Victoria,1882,Classified,Text message,0,1,6.88
45 - 54,Western Australia,2094.3,"Threats to life, arrest or other",Phone call,0,1,1.02
35 - 44,Western Australia,2094.3,Hacking,Internet,0,1,0.81
65 and over,Victoria,1882,Rebate,Text message,0,1,5.62
25 - 34,New South Wales,1935.7,Remote access,Text message,0,1,2.06
25 - 34,Northern Territory,1845.8,"Threats to life, arrest or other",Text message,0,1,0
45 - 54,Victoria,1882,Mobile premium services,Phone call,0,1,1.92
55 - 64,Western Australia,2094.3,False billing,Email,14603.5,15,7.24
18 - 24,Queensland,1901,Investment,Phone call,0,1,1.07
55 - 64,Victoria,1882,Classified,Text message,0,3,4.47
65 and over,New South Wales,1935.7,False billing,Mail,0,1,4.49
25 - 34,New South Wales,1935.7,False billing,Email,63,10,5.91
65 and over,Western Australia,2094.3,Ransomware and malware,Internet,0,2,0.04
45 - 54,Northern Territory,1845.8,Rebate,Text message,0,1,0
45 - 54,New South Wales,2126.5,Investment,Email,0,1,0
45 - 54,South Australia,1776.9,Other,Text message,400,6,4.5
25 - 34,Queensland,1901,Other,Text message,0,6,5.26
35 - 44,Victoria,1882,Pyramid schemes,Mobile apps,0,1,1.19
65 and over,New South Wales,1935.7,Hacking,Phone call,0,4,5.07
35 - 44,Queensland,1901,False billing,Phone call,0,3,3.73
35 - 44,Victoria,1882,Jobs and employment,Text message,68000,2,2.6
65 and over,New South Wales,1935.7,Identity theft,Email,3381,22,20.69
18 - 24,Victoria,1882,"Threats to life, arrest or other",Phone call,0,1,1.13
25 - 34,South Australia,1776.9,Other,Mail,393,1,0.5
25 - 34,Victoria,1882,False billing,Text message,0,10,5.97
35 - 44,New South Wales,1935.7,Jobs and employment,Social media/Online forums,285500,2,2.19
65 and over,Western Australia,2094.3,False billing,Mobile apps,645,2,2.89
35 - 44,New South Wales,2126.5,Online shopping,Internet,579.28,2,0.83
55 - 64,Western Australia,2094.3,Online shopping,Internet,166,3,1.07
25 - 34,Queensland,1901,Online shopping,Social media/Online forums,573.45,9,2.61
55 - 64,Queensland,1901,Classified,Social media/Online forums,2150,5,3.02
35 - 44,Victoria,1882,Hacking,Mobile apps,0,1,1.62
45 - 54,South Australia,1776.9,Other,Phone call,0,4,2.42
25 - 34,Victoria,1882,Rebate,Phone call,0,1,1.51
25 - 34,Victoria,1882,Phishing,Text message,9136,12,38.17
55 - 64,Queensland,1901,Health and medical products,Text message,0,2,3.01
55 - 64,New South Wales,2126.5,Online shopping,Social media/Online forums,150,2,0.83
45 - 54,New South Wales,1935.7,Jobs and employment,Mobile apps,22698,1,2.06
65 and over,Victoria,1882,Phishing,Mail,0,1,13.97
35 - 44,New South Wales,1935.7,Overpayment,Email,440,1,1.84
55 - 64,Western Australia,2094.3,Phishing,Email,425,28,23.82
25 - 34,Western Australia,2094.3,Identity theft,Social media/Online forums,958.76,1,2.1
45 - 54,New South Wales,1935.7,Online shopping,Phone call,0,3,4.76
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,900,3,4.04
35 - 44,Victoria,1882,"Travel, prizes and lottery",Social media/Online forums,0,1,1.32
65 and over,Queensland,1901,Identity theft,Mobile apps,1000,1,2.67
55 - 64,New South Wales,1935.7,Online shopping,Phone call,0,1,5.81
55 - 64,New South Wales,1935.7,Classified,Email,0,2,4.59
55 - 64,Western Australia,2094.3,False billing,Email,114.56,19,6.24
65 and over,Victoria,1882,Ransomware and malware,Email,0,1,5.81
25 - 34,Victoria,1882,Identity theft,Phone call,0,2,3.33
45 - 54,Western Australia,2094.3,Dating and romance,Internet,1193.9,1,1.16
25 - 34,New South Wales,1935.7,Identity theft,Email,0,2,4.71
25 - 34,Northern Territory,1845.8,Identity theft,Phone call,0,1,0.92
35 - 44,Victoria,1882,Other,Internet,0,1,1.83
55 - 64,Northern Territory,1845.8,Phishing,Text message,0,5,11.76
25 - 34,South Australia,1776.9,Rebate,Text message,0,1,0
35 - 44,South Australia,1776.9,Other,Phone call,0,3,1.97
65 and over,Northern Territory,1845.8,False billing,Text message,0,1,5.93
Under 18,Queensland,1901,Other,Text message,0,1,4.61
45 - 54,Western Australia,2094.3,"Travel, prizes and lottery",Phone call,0,1,1.02
55 - 64,Queensland,1901,Remote access,Phone call,0,3,2.3
65 and over,Victoria,1882,Hacking,Internet,0,1,2.4
45 - 54,Western Australia,2094.3,Identity theft,Phone call,0,3,2.79
65 and over,New South Wales,1935.7,Overpayment,Phone call,0,2,3.09
45 - 54,Victoria,1882,Rebate,Email,0,1,2.21
35 - 44,Western Australia,2094.3,Hacking,Text message,0,1,1.76
45 - 54,Victoria,1882,Identity theft,Phone call,0,5,3.85
35 - 44,Victoria,1882,Ransomware and malware,Email,0,1,1.82
65 and over,Victoria,1882,Rebate,Mail,0,1,1.55
25 - 34,New South Wales,2126.5,Hacking,Internet,540,1,0.36
65 and over,Western Australia,2094.3,Investment,Social media/Online forums,413.77,2,1.19
65 and over,Queensland,1901,Online shopping,Text message,0,5,11.73
65 and over,Tasmania,1710.8,Online shopping,Phone call,0,1,3.56
35 - 44,Victoria,1882,Identity theft,Phone call,0,5,3.74
65 and over,New South Wales,1935.7,inheritance and unexpected money,Email,0,6,5.95
55 - 64,New South Wales,1935.7,Classified,Phone call,0,1,3.58
55 - 64,Victoria,1882,False billing,Text message,0,35,9.08
Under 18,New South Wales,1935.7,Phishing,Email,0,1,16.64
35 - 44,Tasmania,1710.8,Remote access,Phone call,0,1,0.72
25 - 34,South Australia,1776.9,Mobile premium services,Phone call,0,2,0.57
65 and over,Western Australia,2094.3,Remote access,Email,0,2,3.87
55 - 64,Queensland,1901,False billing,Text message,0,16,8.75
25 - 34,New South Wales,2126.5,Classified,Email,3000,1,0
45 - 54,New South Wales,1935.7,Classified,Internet,1102,5,2.79
55 - 64,South Australia,1776.9,Fake charity,Phone call,0,1,0.92
65 and over,South Australia,1776.9,Health and medical products,Email,0,1,3.14
65 and over,Queensland,1901,Investment,Phone call,50144.98,3,3.86
35 - 44,New South Wales,1935.7,Phishing,Text message,824,34,35.13
65 and over,Tasmania,1710.8,Other,Phone call,0,7,3.56
25 - 34,New South Wales,2126.5,Other,Text message,0,1,2.24
45 - 54,New South Wales,1935.7,Other,In person,0,2,2.34
65 and over,New South Wales,1935.7,Dating and romance,Text message,0,1,5.76
25 - 34,New South Wales,1935.7,Identity theft,Text message,28000,3,5.32
45 - 54,Queensland,1901,Online shopping,Email,700,1,6.92
65 and over,Queensland,1901,Online shopping,Text message,0,8,11.73
65 and over,New South Wales,1935.7,Mobile premium services,Phone call,0,2,3.09
65 and over,Tasmania,1710.8,Other,Text message,0,1,6.08
25 - 34,Northern Territory,1845.8,Rebate,Email,0,1,0
18 - 24,Victoria,1882,Phishing,Phone call,4565.47,4,6.82
35 - 44,New South Wales,1935.7,Other,Text message,800,10,7.48
45 - 54,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,2.09
35 - 44,Queensland,1901,False billing,Email,200,9,6.08
35 - 44,New South Wales,1935.7,Phishing,Email,0,15,30.56
35 - 44,Queensland,1901,False billing,Text message,406.61,14,6.69
35 - 44,New South Wales,1935.7,Other,Email,0,1,6.13
65 and over,Victoria,1882,Overpayment,Email,0,2,5.81
25 - 34,Northern Territory,1845.8,Online shopping,Internet,0,1,0
18 - 24,South Australia,1776.9,Other,Text message,0,2,1.86
55 - 64,New South Wales,1935.7,Phishing,Text message,24497.5,86,69.17
18 - 24,Victoria,1882,Online shopping,Email,156.44,3,4.41
25 - 34,New South Wales,1935.7,Other,Email,0,1,5.27
25 - 34,Victoria,1882,Hacking,Mail,0,1,1.21
65 and over,New South Wales,1935.7,Online shopping,Text message,0,4,12.69
35 - 44,New South Wales,1935.7,False billing,Text message,0,14,7.24
25 - 34,Queensland,1901,Remote access,Text message,0,1,1.8
55 - 64,South Australia,1776.9,Other,Phone call,0,3,3.08
65 and over,New South Wales,1935.7,False billing,Mail,0,2,4.49
45 - 54,Victoria,1882,Classified,Social media/Online forums,6740,13,3.31
25 - 34,Victoria,1882,Hacking,Internet,830,1,2.14
18 - 24,New South Wales,1935.7,Classified,Internet,0,1,1.02
35 - 44,South Australia,1776.9,False billing,Email,0,2,4.06
55 - 64,New South Wales,2126.5,Hacking,Email,0,1,0.65
