Age Group,State,Average State Income,Scam Type,Contact Method,Amount_lost,Actual_Number_of_Reports,Predicted_Number_of_Reports
45 - 54,New South Wales,2126.5,Classified,Internet,0,1,0.29
55 - 64,South Australia,1776.9,Investment,Social media/Online forums,0,1,0.53
45 - 54,Queensland,1901,Phishing,Phone call,0,8,12.65
25 - 34,New South Wales,1935.7,Remote access,Phone call,0,2,1.71
45 - 54,New South Wales,1935.7,Online shopping,Social media/Online forums,34968,9,5.3
65 and over,South Australia,1776.9,Identity theft,Fax,0,1,0.27
65 and over,Western Australia,2094.3,Online shopping,Internet,130,3,2.29
55 - 64,Queensland,1901,False billing,Text message,0,53,8.75
55 - 64,Victoria,1882,Phishing,Email,0,45,41.27
55 - 64,New South Wales,2126.5,Phishing,Email,0,2,18.37
35 - 44,New South Wales,1935.7,False billing,Email,0,8,6.78
35 - 44,Queensland,1901,Online shopping,Email,0,2,5.4
55 - 64,New South Wales,1935.7,"Threats to life, arrest or other",Phone call,0,1,2.5
35 - 44,Victoria,1882,Overpayment,Text message,0,2,2.18
55 - 64,Victoria,1882,Identity theft,Internet,0,1,2.21
65 and over,South Australia,1776.9,Identity theft,Phone call,0,1,3.32
45 - 54,New South Wales,1935.7,Remote access,Mobile apps,28,1,1.15
45 - 54,Queensland,1901,Online shopping,Internet,472.89,8,2.48
25 - 34,New South Wales,1935.7,Phishing,Social media/Online forums,0,1,0.72
25 - 34,Western Australia,2094.3,False billing,Social media/Online forums,0,1,1.46
55 - 64,Victoria,1882,Overpayment,Email,0,2,3.17
55 - 64,South Australia,1776.9,Rebate,Text message,0,1,1.27
25 - 34,Queensland,1901,Overpayment,Social media/Online forums,0,1,0.64
55 - 64,South Australia,1776.9,Hacking,Email,0,1,2.16
65 and over,Victoria,1882,False billing,Text message,0,46,12.44
35 - 44,Victoria,1882,"Threats to life, arrest or other",Email,0,2,1.9
25 - 34,New South Wales,1935.7,Other,Text message,0,6,6
65 and over,Western Australia,2094.3,Dating and romance,Social media/Online forums,0,1,0.79
55 - 64,Queensland,1901,inheritance and unexpected money,Phone call,0,1,1.89
25 - 34,South Australia,1776.9,Identity theft,Social media/Online forums,0,1,0.81
55 - 64,Victoria,1882,Classified,Mobile apps,0,1,1.68
55 - 64,Tasmania,1710.8,Other,Text message,0,3,3.74
65 and over,South Australia,1776.9,Rebate,Text message,0,2,2.89
35 - 44,Northern Territory,1845.8,Hacking,Text message,0,1,0
35 - 44,Victoria,1882,Hacking,Email,0,6,2.82
65 and over,Queensland,1901,Other,Social media/Online forums,0,1,5.02
45 - 54,South Australia,1776.9,False billing,Email,45177.94,2,5.76
Under 18,New South Wales,1935.7,Online shopping,Email,0,2,5.58
55 - 64,Queensland,1901,Remote access,Email,0,1,3.31
25 - 34,Queensland,1901,Classified,Mobile apps,107,2,1.04
65 and over,Tasmania,1710.8,Other,Text message,0,1,6.08
18 - 24,South Australia,1776.9,False billing,Text message,0,1,2.54
35 - 44,Victoria,1882,Dating and romance,In person,155000,1,2.23
25 - 34,Queensland,1901,Identity theft,Mail,0,2,1.33
55 - 64,Western Australia,2094.3,Other,Email,0,2,5.58
45 - 54,Tasmania,1710.8,False billing,Text message,0,1,3.58
18 - 24,New South Wales,1935.7,Dating and romance,Social media/Online forums,150,2,0.81
25 - 34,New South Wales,1935.7,Identity theft,Email,0,2,4.71
55 - 64,New South Wales,1935.7,inheritance and unexpected money,Mail,0,2,1
65 and over,New South Wales,1935.7,Classified,Social media/Online forums,270.98,4,3.61
65 and over,Queensland,1901,Dating and romance,Mobile apps,0,2,1.28
Under 18,South Australia,1776.9,Dating and romance,Social media/Online forums,0,1,0
65 and over,New South Wales,1935.7,Remote access,Email,0,5,6.85
65 and over,New South Wales,2126.5,Rebate,Text message,0,1,1.16
25 - 34,Queensland,1901,Phishing,Text message,0,17,20.87
45 - 54,South Australia,1776.9,False billing,Text message,0,12,4.83
55 - 64,Victoria,1882,"Threats to life, arrest or other",Text message,0,1,3.55
65 and over,South Australia,1776.9,False billing,Phone call,0,4,5.44
25 - 34,South Australia,1776.9,Phishing,Phone call,0,2,0
45 - 54,New South Wales,1935.7,Investment,Phone call,12370,3,2.97
55 - 64,Queensland,1901,Health and medical products,Email,0,2,2.83
25 - 34,New South Wales,1935.7,Phishing,Email,0,10,27.21
25 - 34,New South Wales,1935.7,Investment,Social media/Online forums,23400,1,2.15
45 - 54,Queensland,1901,Remote access,Text message,0,1,2.51
